1,6,8,9	5,4,7,1	279 |	(3 3 31 )  2
1,71,138,144	141,3,36,35	46629 |	(3 3 3 11 157 )  3
1,135,138,172	155,17,68,67	309519 |	(3 3 7 17 17 17 )  2
1,236,1207,1210	723,487,604,603	104847561 |	(3 3 3 7 13 139 307 )  3
1,242,720,729	365,364,481,239	63056097 |	(3 3 3 13 13 13 1063 )  3
1,372,426,505	253,252,399,27	47518191 |	(3 3 3 7 7 7 7 733 )  3
1,426,486,577	289,288,456,30	70930944 |	(2 2 2 2 2 2 2 2 2 3 3 3 7 733 )  3
1,566,823,904	735,169,412,411	65107719 |	(3 3 3 3 3 3 31 43 67 )  6
1,575,2292,2304	2298,6,288,287	23887656 |	(2 2 2 3 3 3 13 47 181 )  3
1,791,812,1010	911,99,396,395	61128837 |	(3 3 3 3 3 3 3 3 7 11 11 11 )  8
1,1124,5610,5625	2813,2812,3367,2243	15935180535 |	(3 3 5 37 37 37 6991 )  2
1,1851,8675,8703	8689,14,926,925	794020032 |	(2 2 2 2 2 2 3 3 13 19 5581 )  2
1,1938,2820,3097	1549,1548,2379,441	9754807347 |	(3 3 3 19 19 277 3613 )  3
1,1943,6702,6756	6729,27,972,971	918310365 |	(3 3 3 3 3 3 3 3 3 5 7 31 43 )  9
1,1943,11646,11664	11655,9,972,971	918329319 |	(3 3 3 3 3 3 61 107 193 )  6
1,2196,5984,6081	3041,3040,4090,1894	40323465000 |	(2 2 2 3 3 5 5 5 5 7 13 43 229 )  2
1,2676,3230,3753	1877,1876,2953,277	19148427801 |	(3 3 359 433 13687 )  2
1,3086,21588,21609	10805,10804,12337,9251	616598558289 |	(3 3 7 73 73 73 139 181 )  2
1,3318,16806,16849	8425,8424,10062,6744	420916709304 |	(2 2 2 3 3 3 3 3 3 7 13 13 13 13 19 19 )  6
1,3453,24965,24987	24976,11,1727,1726	5150826252 |	(2 2 3 3 11 11 11 13 8269 )  2
1,4607,36840,36864	36852,12,2304,2303	12230588736 |	(2 2 2 2 2 2 3 3 3 191 37057 )  3
1,7251,49409,49461	49435,26,3626,3625	47674180800 |	(2 2 2 2 2 2 3 3 3 5 5 31 97 367 )  3
1,7676,11903,12884	10280,2604,5952,5951	193200116544 |	(2 2 2 2 2 2 3 3 3 3 3 3 31 31 31 139 )  6
2,17,40,41	29,12,21,19	7533 |	(3 3 3 3 3 31 )  5
2,514,947,995	971,24,258,256	17159688 |	(2 2 2 3 3 3 3 3 7 13 97 )  5
2,601,2831,2840	1421,1419,1716,1115	2195786637 |	(3 3 3 3 3 3 11 11 11 31 73 )  6
2,1987,2526,2883	2435,448,1264,1262	1929572352 |	(2 2 2 2 2 2 2 2 2 2 2 2 3 3 17 3079 )  2
2,8297,10303,11852	5927,5925,9300,1003	596356171875 |	(3 3 3 3 3 3 5 5 5 5 5 5 5 37 283 )  6
