5,4908,13243,13464	9186,4278,6624,6619	70564393944 |	(2 2 2 331 696721 )
5,6022,24266,24389	12197,12192,15144,9122	-278281258464 |	(2 2 2 2 2 27862993 )
5,8059,14940,15684	15312,372,4032,4027	21751096320 |	(2 2 2 2 2 2 2 2 2 2 5 79 683 )
5,8059,19332,19788	19560,228,4032,4027	21764305152 |	(2 2 2 2 2 2 2 2 1130737 )
5,8187,28464,28688	28576,112,4096,4091	22822240256 |	(2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 79 347 )
6,32,33,41	37,4,19,13	783 |	(3 3 3 29 )
6,121,768,769	445,324,387,381	7098111 |	(3 3 3 3 87631 )
6,127,180,199	163,36,93,87	204021 |	(3 3 22669 )
6,179,216,251	215,36,111,105	370395 |	(3 3 5 8231 )
6,381,436,517	449,68,221,215	3208053 |	(3 17 62903 )
6,479,718,783	631,152,362,356	13868808 |	(2 2 2 3 577867 )
6,547,1685,1704	855,849,1116,569	-88024239 |	()
6,828,1585,1657	1621,36,417,411	23126697 |	(3 3 11 79 2957 )
6,865,1119,1270	638,632,992,127	132275680 |	(2 2 2 2 2 5 826723 )
6,865,1494,1585	1225,360,750,744	121725000 |	(2 2 2 3 3 5 5 5 5 5 541 )
6,867,1597,1678	842,836,1232,365	38688144 |	(2 2 2 2 3 11 47 1559 )
6,900,1801,1873	1837,36,453,447	29756061 |	(3 3 79 41851 )
6,908,5581,5589	5585,4,457,451	30578001 |	(3 10192667 )
6,911,1321,1452	729,723,1116,205	128913363 |	(3 3 3 3 17 17 5507 )
6,1647,2257,2518	1262,1256,1952,305	838218144 |	(2 2 2 2 2 3 521 16759 )
6,2542,4091,4395	4243,152,1274,1268	678403080 |	(2 2 2 3 3 3 5 449 1399 )
6,2598,6299,6443	6371,72,1302,1296	725469768 |	(2 2 2 3 3 241 41809 )
6,2828,3297,3881	3589,292,1417,1411	928097553 |	(3 59 5243489 )
6,7387,31718,31851	19619,12232,15862,15856	718742063688 |	(2 2 2 17 179 60899 )
6,7695,11369,12440	6223,6217,9532,1837	73849830105 |	(1789 466957 )
6,9577,23399,23922	11964,11958,16488,6911	-167148203616 |	(2 2 2 2 2 3 7 529049 )
7,14,17,20	17,3,12,5	147 |	(3 7 7 )
7,54,57,70	62,8,32,25	5152 |	(2 2 2 2 2 7 23 )
