1,6,8,9
1,71,138,144
1,135,138,172
1,236,1207,1210
1,242,720,729
1,372,426,505
1,426,486,577
1,566,823,904
1,575,2292,2304
1,791,812,1010
1,1124,5610,5625
1,1851,8675,8703
1,1938,2820,3097
1,1943,6702,6756
1,1943,11646,11664
1,2196,5984,6081
1,2676,3230,3753
1,3086,21588,21609
1,3318,16806,16849
1,3453,24965,24987
1,4607,36840,36864
1,7251,49409,49461
1,7676,11903,12884
2,12,16,18
2,17,40,41
2,142,276,288
2,270,276,344
2,472,2414,2420
2,484,1440,1458
2,514,947,995
2,601,2831,2840
2,744,852,1010
2,852,972,1154
2,1132,1646,1808
2,1150,4584,4608
2,1582,1624,2020
2,1987,2526,2883
2,2248,11220,11250
2,3702,17350,17406
2,3876,5640,6194
2,3886,13404,13512
2,3886,23292,23328
2,4392,11968,12162
2,5352,6460,7506
2,6172,43176,43218
2,6636,33612,33698
2,6906,49930,49974
2,8297,10303,11852
2,8703,19806,20351
3,4,5,6
3,10,18,19
3,18,24,27
3,34,114,115
3,36,37,46
3,121,131,159
3,213,414,432
3,214,309,340
3,245,340,378
3,405,414,516
3,509,1156,1188
3,632,1533,1568
3,695,7479,7481
3,708,3621,3630
3,726,2160,2187
3,1116,1278,1515
3,1228,2325,2434
3,1278,1458,1731
3,1485,1954,2206
3,1698,2469,2712
3,1725,6876,6912
3,1936,3005,3252
3,2373,2436,3030
3,2459,3735,4061
3,3372,16830,16875
3,4380,4622,5675
3,5553,26025,26109
3,5814,8460,9291
3,5829,20106,20268
3,5829,34938,34992
3,6180,17872,18115
3,6588,17952,18243
3,8028,9690,11259
3,9954,50418,50547
4,17,22,25
4,24,32,36
4,34,80,82
4,57,248,249
4,284,552,576
4,303,482,519
4,383,1438,1447
4,540,552,688
4,944,4828,4840
4,963,972,1219
4,968,2880,2916
4,1028,1894,1990
4,1202,5662,5680
4,1269,3155,3222
4,1329,1607,1866
4,1418,1587,1899
4,1473,32639,32640
4,1488,1704,2020
4,1704,1944,2308
4,2198,2555,3011
4,2219,7965,8022
4,2264,3292,3616
4,2300,9168,9216
4,2345,3927,4188
4,3043,11006,11083
4,3164,3248,4040
4,3279,15462,15511
4,3974,5052,5766
4,4496,22440,22500
4,4635,10688,10971
4,5669,10690,11197
4,7404,34700,34812
4,7752,11280,12388
4,7772,26808,27024
4,7772,46584,46656
4,8619,15629,16458
4,8755,21797,22258
4,8784,23936,24324
5,30,40,45
5,76,123,132
5,86,460,461
5,163,164,206
5,216,436,453
5,232,307,346
5,355,690,720
5,675,690,860
5,877,1347,1461
5,1059,1282,1488
5,1180,6035,6050
5,1210,3600,3645
5,1827,4369,4473
5,1860,2130,2525
5,1948,2552,2885
5,2130,2430,2885
5,2830,4115,4520
5,2875,11460,11520
5,3955,4060,5050
5,4897,6601,7399
5,4908,13243,13464
5,5620,28050,28125
