>>> binPrimeFactor(13, 599)
599 [2, 0, 1, 0, -1, 0, 0, 0, 1, -1, 0, 0, 0] 4
599 [-2, 0, -1, 0, 1, 0, 0, 0, -1, 1, 0, 0, 0] 4
599 [1, 0, 1, 0, 0, 1, 0, 0, 0, -1, -1, 0, 0] 4
599 [-1, 0, -1, 0, 0, -1, 0, 0, 0, 1, 1, 0, 0] 4
599 [1, 0, 1, 0, 0, 0, -1, 0, 1, 0, 0, -1, 0] 4
599 [-1, 0, -1, 0, 0, 0, 1, 0, -1, 0, 0, 1, 0] 4
599 [-1, 0, 1, 0, 0, 0, 0, 0, 1, -1, -1, 0, 0] 4
599 [1, 0, -1, 0, 0, 0, 0, 0, -1, 1, 1, 0, 0] 4
599 [1, 0, 0, -1, 0, 1, 0, 1, 0, 0, 0, -1, 0] 4
599 [-1, 0, 0, 1, 0, -1, 0, -1, 0, 0, 0, 1, 0] 4
599 [-1, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 1, -1] 4
599 [1, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, -1, 1] 4
599 [-1, 0, 0, -1, 0, 0, 0, 1, 1, 0, 0, -1, 0] 4
599 [1, 0, 0, 1, 0, 0, 0, -1, -1, 0, 0, 1, 0] 4
599 [-1, 0, 0, 0, 1, 1, 0, 0, -1, 0, -1, 0, 0] 4
599 [1, 0, 0, 0, -1, -1, 0, 0, 1, 0, 1, 0, 0] 4
599 [-1, 0, 0, 0, 1, 0, -1, 0, 0, 1, 0, -1, 0] 4
599 [1, 0, 0, 0, -1, 0, 1, 0, 0, -1, 0, 1, 0] 4
599 [-1, -1, -1, 0, 0, 0, 1, 0, 0, 0, 1, -1, 0] 5
599 [1, 1, 1, 0, 0, 0, -1, 0, 0, 0, -1, 1, 0] 5
599 [0, 1, 0, 1, 0, 0, 1, 0, 0, 0, -1, -1, 0] 5
599 [0, -1, 0, -1, 0, 0, -1, 0, 0, 0, 1, 1, 0] 5
599 [0, 1, 0, 1, 0, 0, 0, -1, 0, 1, 0, 0, -1] 5
599 [0, -1, 0, -1, 0, 0, 0, 1, 0, -1, 0, 0, 1] 5
599 [0, -1, 0, 1, 0, 0, 0, 0, 0, 1, -1, -1, 0] 5
599 [0, 1, 0, -1, 0, 0, 0, 0, 0, -1, 1, 1, 0] 5
599 [0, 1, 0, 0, -1, 0, 1, 0, 1, 0, 0, 0, -1] 5
599 [0, -1, 0, 0, 1, 0, -1, 0, -1, 0, 0, 0, 1] 5
599 [0, -1, 0, 0, -1, 0, 0, 0, 1, 1, 0, 0, -1] 5
599 [0, 1, 0, 0, 1, 0, 0, 0, -1, -1, 0, 0, 1] 5
599 [0, -1, 0, 0, 0, 1, 1, 0, 0, -1, 0, -1, 0] 5
599 [0, 1, 0, 0, 0, -1, -1, 0, 0, 1, 0, 1, 0] 5
599 [0, -1, 0, 0, 0, 1, 0, -1, 0, 0, 1, 0, -1] 5
599 [0, 1, 0, 0, 0, -1, 0, 1, 0, 0, -1, 0, 1] 5
599 [-1, -1, 0, 0, 0, 1, 0, 0, 0, 1, -1, 0, -1] 5
599 [1, 1, 0, 0, 0, -1, 0, 0, 0, -1, 1, 0, 1] 5
599 [1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, -1, -1] 5
599 [-1, -1, 0, 0, 0, -1, 0, 0, 0, -1, 0, 1, 1] 5
599 [-2, -1, 0, 0, 0, 0, 1, 0, 1, -1, 0, -1, 0] 5
599 [2, 1, 0, 0, 0, 0, -1, 0, -1, 1, 0, 1, 0] 5
599 [0, 0, -1, 1, 1, 0, 0, 1, 0, -1, 0, 0, 0] 5
599 [0, 0, 1, -1, -1, 0, 0, -1, 0, 1, 0, 0, 0] 5
599 [1, 0, 1, 1, 1, 0, 0, 0, -1, 0, 0, 0, -1] 5
599 [-1, 0, -1, -1, -1, 0, 0, 0, 1, 0, 0, 0, 1] 5
599 [0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, -1, -1] 5
